article_id	variable	dependent_expert	independent_expert	central_expert	control_expert	dontknow_expert
3395	RELIG	0	0	1	0	0
3395	DENOM	0	0	1	0	0
3394	RELIG	1	1	1	1	0
3394	DENOM	1	0	0	0	0
207	MANNERS	1	0	1	0	0
207	SUCCESS	1	0	1	0	0
207	HONEST	1	0	1	0	0
207	CLEAN	1	0	1	0	0
207	JUDGMENT	1	0	1	0	0
207	CONTROL	1	0	1	0	0
207	ROLE	1	0	1	0	0
207	AMICABLE	1	0	1	0	0
207	OBEYS	1	0	1	0	0
207	RESPONSI	1	0	1	0	0
207	CONSIDER	1	0	1	0	0
207	INTEREST	1	0	1	0	0
207	STUDIOUS	1	0	1	0	0
207	RELIG	0	1	1	0	0
207	RACE	0	1	1	0	0
207	INCOME	0	1	1	0	0
207	EDUC	0	1	1	0	0
207	PRESTIGE	0	1	1	0	0
224	WORDSUM	1	0	1	0	0
224	EDUC	0	1	1	0	0
224	AGE	0	1	1	0	0
224	COHORT	0	1	1	0	0
6686	MARITAL	0	0	0	1	0
6686	SEX	0	0	0	1	0
6686	RACE	0	0	0	1	0
6686	CHILDS	0	0	0	1	0
6686	OCC	0	0	0	1	0
6686	DEGREE	0	0	0	1	0
6686	AGE	0	0	0	1	0
6686	SPDEG	0	0	0	1	0
6686	SPOCC	0	0	0	1	0
6686	INCOME	0	0	0	1	0
192	MANNERS	1	0	1	0	0
192	SUCCESS	1	0	1	0	0
192	HONEST	1	0	1	0	0
192	CLEAN	1	0	1	0	0
192	JUDGMENT	1	0	1	0	0
192	CONTROL	1	0	1	0	0
192	ROLE	1	0	1	0	0
192	AMICABLE	0	0	1	0	0
192	OBEYS	1	0	1	0	0
192	RESPONSI	1	0	1	0	0
192	CONSIDER	1	0	1	0	0
192	INTEREST	1	0	1	0	0
192	STUDIOUS	1	0	1	0	0
192	CHILDS	0	0	1	1	0
192	BABIES	0	0	0	1	0
192	PRETEEN	0	0	0	1	0
192	TEENS	0	0	0	1	0
192	SEX	0	0	0	1	0
192	AGE	0	0	0	1	0
192	RELIG	0	1	1	0	0
192	DEGREE	0	1	1	0	0
192	RACE	0	1	1	0	0
196	WORDA	1	0	1	0	0
196	WORDB	1	0	1	0	0
196	WORDC	1	0	1	0	0
196	WORDD	1	0	1	0	0
196	WORDE	1	0	1	0	0
196	WORDF	1	0	1	0	0
196	WORDG	1	0	1	0	0
196	WORDH	1	0	1	0	0
196	WORDI	1	0	1	0	0
196	WORDJ	1	0	1	0	0
196	WORDSUM	1	0	1	0	0
196	AGE	0	1	1	0	0
196	EDUC	0	1	1	0	0
196	SIBS	0	1	1	0	0
196	PAEDUC	0	1	1	0	0
196	MAEDUC	0	1	1	0	0
196	SIBORDER	0	1	1	0	0
196	PAPRES16	0	1	1	0	0
196	MAWORK	0	1	1	0	0
196	MAWKBORN	0	1	1	0	0
196	RES16	0	1	1	0	0
196	REG16	0	1	1	0	0
196	RACE	0	1	1	0	0
196	ETHNIC	0	0	0	1	0
201	OBEY	1	0	1	0	0
201	POPULAR	1	0	1	0	0
201	THNKSELF	1	0	1	0	0
201	WORKHARD	1	0	1	0	0
201	HELPOTH	1	0	1	0	0
201	OBEYS	1	0	1	0	0
201	MANNERS	1	0	1	0	0
201	CLEAN	1	0	1	0	0
201	ROLE	1	0	1	0	0
201	JUDGMENT	1	0	1	0	0
201	INTEREST	1	0	1	0	0
201	CONSIDER	1	0	1	0	0
201	RESPONSI	1	0	1	0	0
201	OBEYSY	1	0	1	0	0
201	MANNERSY	1	0	1	0	0
201	CLEANY	1	0	1	0	0
201	ROLEY	1	0	1	0	0
201	JUDGMENY	1	0	1	0	0
201	INTERESY	1	0	1	0	0
201	CONSIDEY	1	0	1	0	0
201	RESPONSY	1	0	1	0	0
201	AGE	0	1	0	0	0
201	OCC	0	1	0	0	0
201	HSRESPCT	0	0	0	0	1
201	HSORDER	0	0	0	0	1
201	HSSEXED	0	0	0	0	1
201	HSJUDGE	0	0	0	0	1
206	EARNRS	0	0	1	0	0
206	GOVAID	0	0	1	0	0
206	MARITAL	0	0	1	0	0
206	PAEDUC	0	0	1	0	0
206	RACE	0	0	1	0	0
206	RES16	0	0	1	0	0
206	ROBBRY	0	0	1	0	0
206	SIBS	0	0	1	0	0
206	WRKSTAT	0	0	1	0	0
206	FINRELA	0	0	1	0	0
206	GETAHEAD	0	0	1	0	0
206	USWAR	0	0	1	0	0
206	CHLDIDEL	0	0	1	0	0
206	USINTL	0	0	1	0	0
206	ABDEFECT	0	0	1	0	0
206	ABHLTH	0	0	1	0	0
206	ABNOMORE	0	0	1	0	0
206	ABPOOR	0	0	1	0	0
206	ABRAPE	0	0	1	0	0
206	ABSINGLE	0	0	1	0	0
206	NATARMS	0	0	1	0	0
206	NATCITY	0	0	1	0	0
206	PILL	0	0	1	0	0
206	SPKCOM	0	0	1	0	0
206	SPKSOC	0	0	1	0	0
206	TEENPILL	0	0	1	0	0
206	HAPPY	0	0	1	0	0
206	HEALTH	0	0	1	0	0
206	SATJOB	0	0	1	0	0
1524	INCOME	0	0	0	1	0
1524	AGE	0	0	1	0	0
1524	EDUC	0	0	0	1	0
1524	SEX	0	0	1	0	0
1524	MEMFRAT	0	1	0	0	0
1524	MEMSERV	0	1	0	0	0
1524	MEMVET	0	1	0	0	0
1524	MEMPOLIT	0	1	0	0	0
1524	MEMUNION	0	1	0	0	0
1524	MEMSPORT	0	1	0	0	0
1524	MEMYOUTH	0	1	0	0	0
1524	MEMSCHL	0	1	0	0	0
1524	MEMHOBBY	0	1	0	0	0
1524	MEMGREEK	0	1	0	0	0
1524	MEMNAT	0	1	0	0	0
1524	MEMFARM	0	1	0	0	0
1524	MEMLIT	0	1	0	0	0
1524	MEMPROF	0	1	0	0	0
1524	MEMCHURH	0	1	0	0	0
1524	MEMOTHER	0	1	0	0	0
1525	AGE	0	0	1	0	0
1525	SEX	0	0	1	0	0
1525	RACE	0	0	0	1	0
1525	OCC	0	0	0	1	0
1525	INCOME	0	0	0	1	0
1525	HEALTH	0	0	0	1	0
1525	MEMFRAT	0	0	1	0	0
1525	MEMCHURH	0	0	1	0	0
1525	MEMSPORT	0	0	1	0	0
1525	MEMUNION	0	0	1	0	0
1525	MEMPROF	0	0	1	0	0
1525	MEMSCHL	0	0	1	0	0
1525	MEMYOUTH	0	0	1	0	0
1525	MEMVET	0	0	1	0	0
1525	MEMSERV	0	0	1	0	0
1525	MEMLIT	0	0	1	0	0
1525	MEMFARM	0	0	1	0	0
1525	MEMPOLIT	0	0	1	0	0
1525	MEMHOBBY	0	0	1	0	0
1525	MEMGREEK	0	0	1	0	0
1525	MEMNAT	0	0	1	0	0
1525	MEMOTHER	0	0	1	0	0
1530	HAPPY	1	0	0	0	0
1530	SATCITY	1	0	0	0	0
1530	SATHOBBY	1	0	0	0	0
1530	SATFAM	1	0	0	0	0
1530	SATFRND	1	0	0	0	0
1530	MEMFRAT	0	0	1	0	0
1530	MEMSERV	0	0	1	0	0
1530	MEMVET	0	0	1	0	0
1530	MEMPOLIT	0	0	1	0	0
1530	MEMUNION	0	0	1	0	0
1530	MEMSPORT	0	0	1	0	0
1530	MEMYOUTH	0	0	1	0	0
1530	MEMSCHL	0	0	1	0	0
1530	MEMHOBBY	0	0	1	0	0
1530	MEMGREEK	0	0	1	0	0
1530	MEMNAT	0	0	1	0	0
1530	MEMFARM	0	0	1	0	0
1530	MEMLIT	0	0	1	0	0
1530	MEMPROF	0	0	1	0	0
1530	MEMOTHER	0	0	1	0	0
1533	AGE	0	0	0	1	0
1533	INCOM16	0	0	1	0	0
1533	REG16	0	0	1	0	0
1533	RES16	0	0	1	0	0
1533	ABDEFECT	1	0	0	0	0
1533	ABNOMORE	1	0	0	0	0
1533	ABRAPE	1	0	0	0	0
1533	ABPOOR	1	0	0	0	0
1533	ABSINGLE	1	0	0	0	0
1533	ABHLTH	1	0	0	0	0
1533	PREMARSX	1	0	0	0	0
1533	XMARSEX	1	0	0	0	0
1533	HOMOSEX	1	0	0	0	0
1533	SPKATH	1	0	0	0	0
1533	COLATH	1	0	0	0	0
1533	LIBATH	1	0	0	0	0
1533	SPKRAC	1	0	0	0	0
1533	COLRAC	1	0	0	0	0
1533	LIBRAC	1	0	0	0	0
1533	SPKCOM	1	0	0	0	0
1533	COLCOM	1	0	0	0	0
1533	LIBCOM	1	0	0	0	0
1533	SPKMIL	1	0	0	0	0
1533	COLMIL	1	0	0	0	0
1533	LIBMIL	1	0	0	0	0
1533	SPKHOMO	1	0	0	0	0
1533	COLHOMO	1	0	0	0	0
1533	LIBHOMO	1	0	0	0	0
1533	RACSCHOL	1	0	0	0	0
1533	RACPRES	1	0	0	0	0
1533	RACMAR	1	0	0	0	0
1533	RACDIN	1	0	0	0	0
1533	RACSEG	1	0	0	0	0
1533	REGION	0	0	0	1	0
1533	INCOME	0	0	0	1	0
1533	EDUC	0	0	0	1	0
1538	AGE	0	0	1	0	0
1538	ABDEFECT	1	0	0	0	0
1538	ABNOMORE	1	0	0	0	0
1538	ABHLTH	1	0	0	0	0
1538	ABPOOR	1	0	0	0	0
1538	ABRAPE	1	0	0	0	0
1538	ABSINGLE	1	0	0	0	0
1538	EDUC	0	0	0	1	0
1538	SEX	0	0	0	1	0
1566	RACPUSH	1	0	0	0	0
1566	RACPRES	1	0	0	0	0
1566	RACDIN	1	0	0	0	0
1566	RACSCHOL	1	0	0	0	0
